Mating System: Maternal Dominant Sporophytic Self Incompatibility, with Distance-Dependent Pollination

Runs=100, Generations=500, Initial PopSize=250, Safe Sites=0.250, First Reproduction=2
Maximum Per-Capita Ovule Production=100.000, Seed Establishment=0.050, Deathrate=0.050
Pollen Dispersal Range=142, Seed Dispersal Range=50, SI Alleles=10, Neutral Alleles=3

GEN	NPOLL	ERR1	VPOLL	ERR2	SDS1	ERR3	VFSD1	ERR4	VMSD1	ERR5	SDS2	ERR6	VFSD2	ERR7	VMSD2	ERR8
0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
1	0.827	0.009	0.192	0.005	7.906	0.091	14187.013	317.643	15.654	0.514	0.077	0.003	0.906	0.074	0.414	0.059
2	0.838	0.009	0.212	0.005	11.324	0.123	29804.262	618.917	35.279	0.919	0.118	0.003	2.593	0.129	0.203	0.016
3	0.838	0.008	0.229	0.005	14.496	0.156	49532.398	1015.692	63.972	1.442	0.164	0.003	4.091	0.183	0.503	0.025
4	0.829	0.009	0.251	0.005	17.011	0.186	71980.703	1553.124	104.749	2.035	0.201	0.003	5.550	0.184	1.412	0.067
5	0.811	0.010	0.266	0.005	18.777	0.215	95027.000	2207.192	156.188	2.691	0.204	0.003	5.959	0.173	1.797	0.072
6	0.789	0.010	0.271	0.005	19.898	0.230	117969.289	2798.867	213.677	2.983	0.190	0.003	5.850	0.177	1.527	0.062
7	0.776	0.011	0.269	0.005	20.974	0.256	144959.344	3617.381	269.944	3.519	0.181	0.002	5.938	0.193	1.447	0.058
8	0.761	0.011	0.268	0.006	22.041	0.279	175602.219	4544.625	329.035	3.979	0.174	0.002	6.073	0.186	1.426	0.060
9	0.746	0.011	0.270	0.005	22.853	0.292	206193.797	5441.664	390.383	4.368	0.163	0.002	5.856	0.155	1.303	0.051
10	0.738	0.011	0.272	0.005	23.672	0.296	239998.359	6387.765	451.299	4.868	0.153	0.002	5.420	0.157	1.261	0.049
11	0.726	0.011	0.269	0.005	24.435	0.316	275665.500	7696.717	512.459	5.668	0.143	0.002	5.293	0.151	1.095	0.041
12	0.715	0.012	0.268	0.005	25.260	0.342	315313.469	9074.245	575.723	6.189	0.132	0.001	4.858	0.120	0.960	0.035
13	0.707	0.012	0.264	0.005	26.093	0.370	358270.156	10706.541	637.626	6.783	0.126	0.002	4.702	0.129	0.943	0.041
14	0.695	0.012	0.268	0.005	26.865	0.382	400604.469	12027.440	707.515	7.134	0.120	0.002	4.558	0.120	0.872	0.034
15	0.687	0.011	0.268	0.004	27.845	0.409	452191.406	13829.427	780.054	7.302	0.117	0.001	4.450	0.119	0.827	0.029
