Mating System: Maternal Dominant Sporophytic Self Incompatibility, with Distance-Dependent Pollination

Runs=50, Generations=500, Initial PopSize=250, Safe Sites=0.250, First Reproduction=2
Maximum Per-Capita Ovule Production=100.000, Seed Establishment=0.050, Deathrate=0.050
Pollen Dispersal Range=142, Seed Dispersal Range=50, SI Alleles=10, Neutral Alleles=3

GEN	NPOLL	ERR1	VPOLL	ERR2	SDS1	ERR3	VFSD1	ERR4	VMSD1	ERR5	SDS2	ERR6	VFSD2	ERR7	VMSD2	ERR8
0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
1	0.847	0.013	0.180	0.008	8.121	0.122	14846.616	443.541	14.480	0.769	0.051	0.002	0.529	0.050	0.062	0.006
2	0.873	0.013	0.192	0.008	11.905	0.172	32004.088	903.396	31.106	1.579	0.100	0.003	2.137	0.138	0.104	0.004
3	0.881	0.013	0.217	0.008	15.348	0.225	53034.199	1508.324	57.322	2.650	0.169	0.004	4.345	0.274	0.429	0.025
4	0.865	0.015	0.233	0.008	18.006	0.277	75695.812	2269.015	96.915	3.743	0.217	0.004	6.226	0.250	1.486	0.103
5	0.840	0.015	0.248	0.008	19.717	0.308	99475.656	3153.482	150.488	4.434	0.216	0.004	6.448	0.246	1.843	0.112
6	0.816	0.014	0.269	0.007	20.699	0.319	122453.383	3962.322	211.051	4.200	0.203	0.004	6.361	0.238	1.671	0.097
7	0.788	0.015	0.264	0.007	21.529	0.344	147983.734	5024.781	271.553	4.965	0.186	0.003	5.916	0.231	1.463	0.079
8	0.763	0.015	0.266	0.007	22.292	0.380	175373.406	6241.863	333.272	5.785	0.181	0.003	6.339	0.251	1.424	0.077
9	0.744	0.015	0.272	0.007	22.956	0.419	203380.953	7640.537	396.190	6.322	0.161	0.003	5.606	0.167	1.174	0.071
10	0.737	0.016	0.267	0.007	23.793	0.443	238600.938	9070.900	452.882	7.545	0.152	0.003	5.230	0.216	1.287	0.067
11	0.739	0.017	0.260	0.007	25.006	0.453	281396.312	10183.451	510.280	8.859	0.148	0.003	5.443	0.234	1.129	0.074
12	0.726	0.017	0.264	0.007	25.720	0.501	318591.375	12124.465	573.302	9.629	0.139	0.003	5.401	0.230	0.991	0.059
13	0.713	0.017	0.267	0.006	26.359	0.521	357567.469	13906.410	638.021	10.120	0.131	0.002	4.987	0.175	0.962	0.047
14	0.703	0.017	0.267	0.006	27.197	0.551	403952.156	15857.628	705.256	10.360	0.119	0.002	4.256	0.166	0.805	0.039
15	0.700	0.017	0.263	0.006	28.166	0.574	455980.812	17995.748	773.228	10.964	0.119	0.003	4.686	0.213	0.860	0.054
16	0.688	0.017	0.269	0.006	28.956	0.597	503613.438	19943.170	849.030	11.153	0.110	0.002	4.278	0.143	0.704	0.046
17	0.675	0.016	0.268	0.005	29.513	0.617	548990.938	22106.400	924.409	10.760	0.105	0.002	4.052	0.136	0.721	0.036
18	0.664	0.015	0.273	0.005	30.201	0.648	596878.500	24447.734	1006.626	10.655	0.102	0.002	3.898	0.134	0.763	0.035
19	0.674	0.016	0.268	0.007	31.560	0.682	673738.062	28372.598	1074.290	12.676	0.100	0.002	3.883	0.158	0.706	0.035
20	0.673	0.016	0.266	0.007	32.471	0.690	737097.625	31027.473	1135.397	13.343	0.095	0.002	3.600	0.139	0.652	0.040
21	0.675	0.017	0.265	0.008	33.212	0.733	797432.562	36982.613	1170.643	14.872	0.091	0.002	3.356	0.163	0.635	0.031
22	0.677	0.017	0.262	0.008	33.996	0.754	856451.500	39354.348	1200.499	15.893	0.088	0.001	3.291	0.122	0.577	0.032
23	0.665	0.017	0.264	0.007	34.263	0.773	890229.188	41857.883	1237.177	15.659	0.086	0.002	3.174	0.121	0.627	0.033
24	0.654	0.016	0.266	0.007	34.491	0.801	923241.250	44853.289	1276.811	14.862	0.082	0.002	2.901	0.113	0.620	0.038
25	0.644	0.016	0.268	0.006	34.696	0.817	954315.125	47385.805	1317.406	14.021	0.080	0.002	2.847	0.112	0.583	0.026
26	0.651	0.018	0.260	0.008	35.506	0.932	1025915.625	58160.168	1338.372	16.610	0.076	0.001	2.546	0.109	0.587	0.039
