Mating System: Maternal Dominant Sporophytic Self Incompatibility, with Distance-Dependent Pollination

Runs=50, Generations=500, Initial PopSize=250, Safe Sites=0.250, First Reproduction=2
Maximum Per-Capita Ovule Production=100.000, Seed Establishment=0.050, Deathrate=0.050
Pollen Dispersal Range=142, Seed Dispersal Range=50, SI Alleles=10, Neutral Alleles=3

GEN	NRUN	NGENE	ERR1	SGENE	ERR2	NVAR	ERR3	SVAR	ERR4	HO	ERR5	HE	ERR6	FIS	ERR7
0	50	2.800	0.000	9.000	0.000	-0.055	0.000	-0.002	0.000	0.665	0.002	0.687	0.000	0.033	0.003
1	50	2.800	0.000	9.000	0.000	-0.055	0.000	-0.002	0.000	0.665	0.002	0.687	0.000	0.032	0.003
2	50	2.800	0.000	9.000	0.000	-0.055	0.000	-0.002	0.000	0.666	0.002	0.687	0.000	0.031	0.003
3	50	2.800	0.000	9.000	0.000	-0.055	0.000	-0.002	0.000	0.666	0.002	0.686	0.001	0.030	0.003
4	50	2.800	0.000	9.000	0.000	-0.054	0.000	-0.002	0.000	0.665	0.002	0.685	0.001	0.028	0.003
5	50	2.800	0.000	9.000	0.000	-0.052	0.001	-0.002	0.000	0.665	0.002	0.682	0.001	0.025	0.003
6	50	2.800	0.000	9.000	0.000	-0.051	0.001	-0.001	0.000	0.665	0.002	0.679	0.001	0.022	0.003
7	50	2.800	0.000	9.000	0.000	-0.049	0.001	-0.001	0.000	0.664	0.002	0.676	0.001	0.018	0.003
8	50	2.800	0.000	9.000	0.000	-0.047	0.001	-0.000	0.000	0.662	0.002	0.672	0.002	0.015	0.003
9	50	2.800	0.000	9.000	0.000	-0.045	0.001	-0.000	0.000	0.662	0.002	0.668	0.002	0.010	0.003
10	50	2.800	0.000	9.000	0.000	-0.042	0.002	0.000	0.000	0.660	0.001	0.664	0.002	0.005	0.004
11	50	2.800	0.000	9.000	0.000	-0.040	0.002	0.001	0.000	0.659	0.002	0.660	0.003	0.001	0.004
12	50	2.800	0.000	9.000	0.000	-0.038	0.002	0.001	0.000	0.658	0.002	0.657	0.003	-0.003	0.004
13	50	2.800	0.000	9.000	0.000	-0.036	0.002	0.002	0.000	0.656	0.002	0.653	0.003	-0.005	0.004
14	50	2.800	0.000	9.000	0.000	-0.033	0.002	0.002	0.000	0.655	0.002	0.650	0.003	-0.009	0.005
15	50	2.800	0.000	9.000	0.000	-0.032	0.002	0.002	0.000	0.653	0.002	0.647	0.003	-0.011	0.005
16	50	2.800	0.000	9.000	0.000	-0.030	0.002	0.003	0.000	0.651	0.002	0.644	0.004	-0.013	0.005
17	50	2.800	0.000	9.000	0.000	-0.028	0.003	0.003	0.000	0.650	0.002	0.641	0.004	-0.017	0.005
18	50	2.800	0.000	9.000	0.000	-0.027	0.003	0.003	0.000	0.648	0.002	0.638	0.004	-0.017	0.006
19	50	2.800	0.000	9.000	0.000	-0.026	0.003	0.004	0.000	0.646	0.002	0.636	0.004	-0.018	0.006
20	50	2.800	0.000	9.000	0.000	-0.024	0.003	0.004	0.000	0.645	0.002	0.634	0.004	-0.020	0.006
21	50	2.800	0.000	9.000	0.000	-0.023	0.003	0.004	0.000	0.643	0.003	0.632	0.004	-0.020	0.006
22	50	2.800	0.000	9.000	0.000	-0.022	0.003	0.004	0.001	0.642	0.003	0.630	0.005	-0.021	0.006
23	50	2.800	0.000	9.000	0.000	-0.021	0.003	0.004	0.001	0.641	0.003	0.628	0.005	-0.023	0.006
24	50	2.800	0.000	9.000	0.000	-0.019	0.003	0.004	0.001	0.640	0.003	0.626	0.005	-0.024	0.006
25	50	2.800	0.000	9.000	0.000	-0.019	0.003	0.005	0.001	0.639	0.003	0.625	0.005	-0.024	0.006
26	50	2.800	0.000	9.000	0.000	-0.018	0.003	0.005	0.001	0.638	0.003	0.624	0.005	-0.024	0.006
27	50	2.800	0.000	9.000	0.000	-0.017	0.003	0.005	0.001	0.636	0.003	0.623	0.005	-0.023	0.006
28	50	2.800	0.000	9.000	0.000	-0.016	0.003	0.005	0.001	0.635	0.003	0.622	0.005	-0.024	0.006
29	50	2.800	0.000	9.000	0.000	-0.015	0.003	0.005	0.001	0.633	0.004	0.620	0.005	-0.023	0.006
30	50	2.800	0.000	9.000	0.000	-0.014	0.003	0.005	0.001	0.632	0.004	0.619	0.005	-0.023	0.006
31	50	2.800	0.000	9.000	0.000	-0.014	0.003	0.005	0.001	0.631	0.004	0.618	0.005	-0.022	0.006
32	50	2.800	0.000	9.000	0.000	-0.014	0.003	0.005	0.001	0.631	0.004	0.619	0.005	-0.021	0.006
33	50	2.800	0.000	9.000	0.000	-0.014	0.003	0.005	0.001	0.631	0.004	0.619	0.005	-0.021	0.006
34	50	2.800	0.000	9.000	0.000	-0.014	0.003	0.005	0.001	0.630	0.004	0.619	0.005	-0.021	0.006
35	50	2.800	0.000	9.000	0.000	-0.014	0.003	0.005	0.001	0.630	0.004	0.618	0.005	-0.021	0.006
36	50	2.800	0.000	9.000	0.000	-0.014	0.003	0.005	0.001	0.630	0.004	0.618	0.005	-0.021	0.006
37	50	2.800	0.000	9.000	0.000	-0.014	0.003	0.005	0.001	0.630	0.004	0.618	0.006	-0.021	0.006
