Mating System: Maternal Dominant Sporophytic Self Incompatibility, with Distance-Dependent Pollination

Runs=50, Generations=500, Initial PopSize=250, Safe Sites=0.250, First Reproduction=2
Maximum Per-Capita Ovule Production=100.000, Seed Establishment=0.050, Deathrate=0.050
Pollen Dispersal Range=142, Seed Dispersal Range=50, SI Alleles=10, Neutral Alleles=3

GEN	NRUN	NGENE	ERR1	SGENE	ERR2	NVAR	ERR3	SVAR	ERR4	HO	ERR5	HE	ERR6	FIS	ERR7
0	50	2.800	0.000	9.000	0.000	-0.055	0.000	-0.003	0.000	0.666	0.002	0.687	0.000	0.031	0.002
1	50	2.800	0.000	9.000	0.000	-0.055	0.000	-0.003	0.000	0.665	0.002	0.688	0.000	0.033	0.002
2	50	2.800	0.000	9.000	0.000	-0.055	0.000	-0.003	0.000	0.664	0.002	0.688	0.000	0.035	0.002
3	50	2.800	0.000	9.000	0.000	-0.055	0.000	-0.003	0.000	0.664	0.002	0.687	0.001	0.035	0.002
4	50	2.800	0.000	9.000	0.000	-0.056	0.001	-0.003	0.000	0.646	0.002	0.687	0.001	0.059	0.003
5	50	2.800	0.000	9.000	0.000	-0.057	0.001	-0.004	0.000	0.614	0.002	0.685	0.001	0.104	0.003
6	50	2.800	0.000	9.000	0.000	-0.057	0.001	-0.004	0.000	0.585	0.002	0.681	0.002	0.142	0.003
7	50	2.800	0.000	9.000	0.000	-0.055	0.001	-0.005	0.000	0.563	0.002	0.676	0.002	0.168	0.003
8	50	2.800	0.000	9.000	0.000	-0.054	0.001	-0.005	0.000	0.547	0.002	0.672	0.002	0.185	0.004
9	50	2.800	0.000	9.000	0.000	-0.052	0.001	-0.005	0.000	0.534	0.002	0.667	0.002	0.199	0.004
10	50	2.800	0.000	9.000	0.000	-0.050	0.001	-0.005	0.000	0.524	0.002	0.663	0.003	0.209	0.004
11	50	2.800	0.000	9.000	0.000	-0.049	0.001	-0.006	0.000	0.513	0.002	0.659	0.003	0.220	0.004
12	50	2.800	0.000	9.000	0.000	-0.048	0.002	-0.006	0.000	0.506	0.002	0.655	0.003	0.227	0.004
13	50	2.800	0.000	9.000	0.000	-0.046	0.002	-0.006	0.000	0.501	0.002	0.652	0.003	0.231	0.004
14	50	2.800	0.000	9.000	0.000	-0.045	0.002	-0.006	0.000	0.496	0.002	0.648	0.004	0.235	0.004
15	50	2.800	0.000	9.000	0.000	-0.043	0.002	-0.006	0.000	0.492	0.002	0.646	0.004	0.237	0.004
16	50	2.804	0.004	9.000	0.000	-0.042	0.002	-0.006	0.000	0.488	0.002	0.642	0.004	0.240	0.004
17	50	2.824	0.020	9.020	0.020	-0.039	0.002	-0.006	0.000	0.485	0.002	0.640	0.004	0.241	0.004
